id,judul,klik_tawaran,klik_kita,userId
375652501882896,BISA COD,5,2,61555649897138
315013010958806,TERIMA RUTIN,5,2,61554872541470
909341217060431,TERIMA RUTIN,5,2,61554738144782
1073381353985954,TERIMA RUTIN,5,2,61554340184399
882933766906630,TERJAMIN,5,2,61554738144782
1521420881752789,TERMURAH,5,2,61554090293931
940120044232796,FREE ONGKIR Kurma,5,2,61555927143848
889731766066794,Empuk,5,2,61554705207966
1072710303999498,TERBAGUS Kurma Sukari Premium,5,2,61555883135592
716897140573076,GROSIR Kurma Sukari Premium,5,2,61555649897138
941979520851651,FREE ONGKIR Kurma,5,2,61556115166626
433136212483154,Gudang Kurma Tunisia Premium,5,2,61555696844743
1466591824238372,TERMURAH Kurma Muda rutob Premium,5,2,61555485395017
6899422226837001,TERMURAH,5,2,61553916359635
3780471245530900,Importir Kurma mesir,4,0,61555986787876
391006480302204,Toko Kurma mesir,4,0,61556207191434
1783399472142626,TERBAIK Kurma Tunisia Kering Basah Tangkai,4,0,61555875764745
383858411027196,Importir Kurma Tunisia tangkai,4,0,61555982858076
962767018056860,FREE ONGKIR Kurma Mesir Tunisia Madu,4,0,61556042098689
941659264277133,Toko Kurma Tunisia Kering Basah Tangkai,4,0,61555849154392
434473562401871,COD Kurma Tunisia Kering Basah Tangkai ,4,0,61555916283950
1349255789070545, daging kambing  BEKU,4,0,61556254437480
455815320141479,MAINAN ANAK PUZZLE,4,0,61558579993780
1679840216155868,Raja Kurma,4,1,61556209882262
373200205651812,COD Kurma Muda rutob Premium,4,1,61555986787876
346337668382338,Suplier Kurma,4,1,61556131445681
1095946034761355,HALAL,4,1,61553385245857
720227376958854,Suplier Kurma Sukari Premium,4,1,61555815998885
1071820594026319,Toko Kurma Sukari Premium,4,1,61555696844743
643446707879590,FREE ONGKIR Kurma Ajwa Premium,4,1,61556146292116
804522824847160,TERBAGUS Kurma Tunisia basah,4,1,61556127362997
285004691284614,Gudang Kurma Sukari Premium,4,1,61556454591149
400924109289989,COD Kurma,4,1,61556137495360
7322010044550473,Gudang Kurma Sukari Premium,4,1,61556145452251
1811514049289248,DAPAT BONUS,4,1,61554344471899
263125953401013,Raja Kurma,4,1,61556251700613
1113224086691300,TERBAIK,4,1,61553916359635
699349785598750,SANGAT EMPUK,4,2,61554025915739
676380834471908,TERBAGUS Kurma Sukari Premium,4,2,61556438271634
1350123755868499,READY RATUSAN KG,4,2,61554705207966
3715630572028306,SANGAT EMPUK,4,2,61555916283950
408645228252937,SANGAT EMPUK,4,2,61554111833156
672657971613303,TERIMA RUTIN,4,2,61554793403663
931534501298138,TERPERCAYA,4,2,61554111833156
354839193962257,SANGAT EMPUK,4,2,61553725191128
2660483340794576,TERIMA RUTIN,4,2,61553725191128
723571753177803,Suplier Kurma,4,2,61555716703947
699939508963872,COD Kurma Sukari Premium,4,2,61556032048986
412228217843448,TERJAMIN,4,2,61553757158199
776295140565539,Suplier Kurma Sukari Premium,4,2,61556312375429
430052806135297, daging kambing  BEKU,3,0,61554049404148
1793084174537778, daging kambing  BEKU,3,0,61556145063803
3241440349484612,Toko Toples Plastik,3,0,61555839967572
1468765690371182,FREE ONGKIR Kurma Muda rutob Premium,3,0,61555934230455
2020596598336027,Suplier Kurma Mesir,3,0,61556032048986
1544357893015649,FREE ONGKIR Kurma Muda rutob Premium,3,0,61555647137136
686523216837649,TERBAGUS Kurma mesir,3,0,61556127362997
427189809839695,Suplier Kurma Muda Ruthob Ember,3,0,61555976140479
819415616689113, daging kambing  sampil,3,0,61555716703947
1419433898703802,TERBAGUS Kurma Mesir Tunisia Madu,3,0,61556219001777
2803799659767787,Gudang Kurma Sukari Khalas Ajwa,3,0,61556300845442
923502979428631,Suplier Kurma Tunisia Kering Basah Tangkai,3,0,61555675305653
358325070527667, daging kambing  BEKU,3,0,61553970928063
